Wall time,Step,Value
1733705781.649385,42,0.0
1733705781.672294,45,0.0
1733705781.828519,71,0.0
1733705781.952205,94,0.0
1733705785.163483,158,-13.757818222045898
1733705785.541969,167,-15.385151863098145
1733705788.532401,229,-14.84886646270752
1733705788.790994,234,-17.082172393798828
1733705789.927789,255,-15.183077812194824
1733705790.882292,273,-15.126440048217773
1733705792.768393,308,-15.942792892456055
1733705792.895769,310,-20.102977752685547
1733705793.435438,318,-14.30409049987793
1733705800.439699,421,-19.93899154663086
1733705803.900175,460,-19.36214828491211
1733705804.902407,474,-17.318527221679688
1733705811.078503,536,-20.280731201171875
1733705816.039717,579,-19.673221588134766
1733705816.8593,586,-19.44753646850586
1733705822.376845,634,-18.541305541992188
1733705823.993209,647,-19.005451202392578
1733705826.896082,671,-20.209217071533203
1733705832.620257,714,-16.980255126953125
1733705833.622873,722,-18.82986068725586
1733705839.840609,771,-18.20943832397461
1733705841.55527,785,-20.28652572631836
1733705843.647289,802,-18.613332748413086
1733705844.408779,808,-20.95482635498047
1733705847.830434,836,-21.08885955810547
1733705861.914328,945,-17.427696228027344
1733705864.988757,971,-18.65622329711914
1733705870.193455,1014,-18.04476547241211
1733705876.431002,1066,-17.403663635253906
1733705880.658324,1104,-15.80562973022461
1733705889.790056,1180,-18.047801971435547
1733705900.276176,1261,-15.679004669189453
1733705907.017744,1316,-16.746244430541992
1733705907.480538,1319,-17.68216323852539
1733705909.169564,1333,-14.704931259155273
1733705909.551595,1337,-17.106843948364258
1733705914.962561,1385,-15.133234024047852
1733705915.711981,1392,-13.934633255004883
1733705920.948234,1436,-15.174406051635742
1733705924.44872,1466,-17.18254280090332
1733705931.248153,1523,-16.62552261352539
1733705934.721729,1552,-15.66361141204834
1733705936.5936,1568,-14.426385879516602
1733705938.236869,1584,-13.025821685791016
1733705945.440803,1640,-13.182160377502441
1733705951.902747,1691,-17.355667114257812
1733705954.216138,1709,-16.269315719604492
1733705955.180988,1718,-14.278290748596191
1733705956.869297,1734,-16.92911148071289
1733705957.175098,1737,-13.584577560424805
1733705962.205024,1781,-15.304901123046875
1733705970.46056,1844,-15.89313793182373
1733705973.148601,1866,-14.103017807006836
1733705973.502118,1869,-14.672792434692383
1733705974.383506,1877,-14.009207725524902
1733705978.932282,1917,-13.679073333740234
1733705980.996496,1934,-12.334161758422852
1733705982.6886,1947,-13.688117980957031
1733705993.021969,2036,-18.07025718688965
1733706000.039674,2096,-15.23900032043457
1733706011.684682,2187,-15.240392684936523
1733706013.47154,2199,-12.582229614257812
1733706017.272362,2231,-13.339700698852539
1733706017.835241,2237,-12.942533493041992
1733706019.853343,2257,-12.851232528686523
1733706020.365202,2262,-12.65649127960205
1733706025.729497,2307,-11.567948341369629
1733706027.170179,2319,-15.872376441955566
1733706031.184372,2354,-14.97179889678955
1733706034.925568,2389,-13.431533813476562
1733706034.981073,2390,-16.784069061279297
1733706039.916162,2436,-15.742668151855469
1733706042.122866,2453,-14.178298950195312
1733706042.433629,2455,-14.623106956481934
1733706042.882863,2460,-12.780143737792969
1733706045.833731,2485,-14.309595108032227
1733706045.99632,2486,-13.54130744934082
1733706047.266489,2498,-11.286263465881348
1733706047.924056,2503,-13.974609375
1733706051.299155,2532,-14.790162086486816
1733706052.906074,2547,-14.15090560913086
1733706053.590947,2553,-14.42741584777832
1733706069.491104,2685,-14.250482559204102
