Wall time,Step,Value
1733705782,42,0
1733705782,45,0.75
1733705782,71,0
1733705782,94,1
1733705785,158,0
1733705786,167,0
1733705789,229,0.200000003
1733705789,234,0
1733705790,255,0.200000003
1733705791,273,0
1733705793,308,0
1733705793,310,0.5
1733705793,318,0
1733705800,421,0.5
1733705804,460,0.666666687
1733705805,474,0.75
1733705811,536,0.800000012
1733705816,579,0
1733705817,586,0
1733705822,634,0
1733705824,647,0
1733705827,671,0.5
1733705833,714,0.400000006
1733705834,722,0.5
1733705840,771,0.200000003
1733705842,785,0.400000006
1733705844,802,0.600000024
1733705844,808,0.333333343
1733705848,836,0.200000003
1733705862,945,0
1733705865,971,0.333333343
1733705870,1014,0.400000006
1733705876,1066,0.25
1733705881,1104,0.200000003
1733705890,1180,0
1733705900,1261,0.200000003
1733705907,1316,0.333333343
1733705907,1319,0
1733705909,1333,0
1733705910,1337,0.200000003
1733705915,1385,0.25
1733705916,1392,0.5
1733705921,1436,0.5
1733705924,1466,0.666666687
1733705931,1523,0
1733705935,1552,0.666666687
1733705937,1568,0.600000024
1733705938,1584,0
1733705945,1640,0.5
1733705952,1691,0.333333343
1733705954,1709,0.25
1733705955,1718,0
1733705957,1734,0.5
1733705957,1737,0.333333343
1733705962,1781,0.400000006
1733705970,1844,0.5
1733705973,1866,0
1733705974,1869,0
1733705974,1877,0.600000024
1733705979,1917,0.25
1733705981,1934,0.400000006
1733705983,1947,0.666666687
1733705993,2036,0.25
1733706000,2096,1
1733706012,2187,0.600000024
1733706013,2199,0.75
1733706017,2231,0.75
1733706018,2237,0.200000003
1733706020,2257,0.75
1733706020,2262,0.200000003
1733706026,2307,0.75
1733706027,2319,0.5
1733706031,2354,0.75
1733706035,2389,0.5
1733706035,2390,0.5
1733706040,2436,0.600000024
1733706042,2453,0.5
1733706042,2455,0.5
1733706043,2460,0.25
1733706046,2485,0.600000024
1733706046,2486,0.75
1733706047,2498,0.5
1733706048,2503,0
1733706051,2532,0.600000024
1733706053,2547,0.800000012
1733706054,2553,0.333333343
1733706069,2685,0.600000024
1733706075,2740,0.666666687
1733706081,2789,0.75
1733706093,2896,0.600000024
1733706100,2967,0.400000006
1733706109,3038,0.5
1733706109,3041,0
1733706115,3099,0.5
1733706122,3161,0
1733706129,3230,0.666666687
1733706131,3244,0.5
