Wall time,Step,Value
1733705782,42,-0.61979562
1733705782,45,-0.954528093
1733705782,71,-1.24028933
1733705782,94,0.483253956
1733705785,158,0.768364012
1733705786,167,1.478346467
1733705789,229,-0.409167051
1733705789,234,-0.277050257
1733705790,255,-1.767362595
1733705791,273,-0.145120591
1733705793,308,0.066703834
1733705793,310,-1.056429386
1733705793,318,-1.051384926
1733705800,421,0.167508557
1733705804,460,0.280601144
1733705805,474,-1.808248997
1733705811,536,1.532732844
1733705816,579,-0.662441432
1733705817,586,-2.380098104
1733705822,634,-1.476816416
1733705824,647,-2.433923483
1733705827,671,0.254974365
1733705833,714,-0.184110537
1733705834,722,1.812585592
1733705840,771,-1.417697787
1733705842,785,0.160354316
1733705844,802,1.866986275
1733705844,808,1.123053789
1733705848,836,-1.102038145
1733705862,945,-2.568811655
1733705865,971,-0.026947057
1733705870,1014,-0.070119791
1733705876,1066,-0.524334133
1733705881,1104,-1.899035811
1733705890,1180,-1.396437287
1733705900,1261,-1.387456536
1733705907,1316,0.166964322
1733705907,1319,-2.610161781
1733705909,1333,-2.742409945
1733705910,1337,-1.520465493
1733705915,1385,-2.909425974
1733705916,1392,0.355276346
1733705921,1436,-1.026746273
1733705924,1466,0.20976308
1733705931,1523,-1.969884992
1733705935,1552,2.625904083
1733705937,1568,1.243355155
1733705938,1584,-1.6595397
1733705945,1640,1.121659517
1733705952,1691,0.236810014
1733705954,1709,-0.74369961
1733705955,1718,-2.272356033
1733705957,1734,1.838380456
1733705957,1737,1.060048103
1733705962,1781,-1.132300615
1733705970,1844,1.991943717
1733705973,1866,-1.909797072
1733705974,1869,-2.752758265
1733705974,1877,1.379523516
1733705979,1917,-0.726884723
1733705981,1934,-1.831374884
1733705983,1947,2.641150951
1733705993,2036,-2.655959606
1733706000,2096,3.327418804
1733706012,2187,1.161897421
1733706013,2199,0.871994317
1733706017,2231,1.597732067
1733706018,2237,-0.624336541
1733706020,2257,2.650871992
1733706020,2262,-1.476539612
1733706026,2307,1.060361147
1733706027,2319,0.711446226
1733706031,2354,3.38258481
1733706035,2389,-0.347676903
1733706035,2390,0.695327342
1733706040,2436,-0.382844597
1733706042,2453,-2.197109699
1733706042,2455,-0.93016392
1733706043,2460,-0.0093709
1733706046,2485,0.018555887
1733706046,2486,0.806188166
1733706047,2498,-0.345145732
1733706048,2503,-1.785776734
1733706051,2532,1.388260722
1733706053,2547,0.287379086
1733706054,2553,0.737950504
1733706069,2685,1.727400303
1733706075,2740,0.805138111
1733706081,2789,-0.757457554
1733706093,2896,1.992200851
1733706100,2967,-1.541073322
1733706109,3038,1.334341884
1733706109,3041,-2.544060469
1733706115,3099,-1.733693838
1733706122,3161,-0.533815682
1733706129,3230,1.102720022
1733706131,3244,0.575715542
1733706131,3246,-2.393063307
1733706131,3247,-2.339795828
1733706137,3305,-2.70828414
1733706157,3480,-2.378306866
1733706171,3600,-0.216681689
1733706173,3618,1.06028986
1733706174,3620,-2.532176733
1733706180,3670,2.916886806
1733706187,3726,-0.014868282
1733706188,3741,-1.165618777
1733706195,3793,0.275486261
1733706197,3814,1.498034
1733706198,3821,0.099410601
1733706210,3928,2.961975574
1733706214,3956,2.063383341
1733706217,3984,-1.431542039
1733706223,4036,1.106946707
1733706231,4098,2.235794306
1733706243,4196,0.477394253
1733706247,4227,2.687163115
1733706247,4232,-1.461501241
1733706256,4304,0.113612197
1733706258,4317,1.035632133
1733706258,4319,2.336102724
1733706267,4400,0.444001615
1733706277,4492,3.118320704
1733706279,4509,1.857447505
1733706282,4530,1.939924598
1733706293,4628,2.66233182
1733706298,4664,1.856407404
1733706298,4668,3.430607796
1733706300,4676,0.345207006
1733706308,4750,2.03095603
1733706312,4788,0.001110102
1733706314,4802,3.510291576
1733706319,4840,-0.812836468
1733706320,4852,1.380625844
1733706325,4894,3.025568724
1733706332,4962,2.267871141
1733706333,4971,1.260576129
1733706334,4974,-0.205711097
1733706342,5050,-0.588363707
1733706342,5052,1.209235072
1733706349,5106,3.297576666
1733706352,5134,3.160457134
1733706363,5239,-0.169708967
1733706373,5329,2.845622778
1733706374,5345,-1.540208697
1733706376,5359,2.868681669
1733706384,5420,1.144162178
1733706397,5517,3.091803789
1733706400,5549,0.794530511
1733706413,5664,2.313959837
1733706415,5679,-0.316474408
1733706420,5723,0.527733147
1733706429,5808,1.459964514
1733706431,5825,3.220019579
1733706431,5828,1.57199502
1733706435,5864,3.19690299
1733706436,5871,2.090034962
1733706440,5907,1.36750865
1733706442,5928,1.321371555
1733706449,5990,2.937357187
1733706451,6010,1.333468318
1733706464,6121,0.535522521
1733706465,6131,3.125715017
1733706473,6200,-0.819808066
1733706474,6213,3.391610622
1733706475,6219,-2.835758209
1733706477,6232,1.72018683
1733706485,6289,2.570588827
1733706488,6312,-1.901582003
1733706488,6317,1.993693829
1733706495,6376,1.642382145
1733706497,6400,2.443141222
1733706508,6496,0.235191494
1733706510,6520,2.040269613
1733706516,6574,0.961550891
1733706519,6603,3.160286188
1733706525,6657,2.153295279
1733706529,6696,2.834670544
1733706530,6699,0.675544798
1733706531,6711,1.721974373
1733706534,6742,1.40123105
1733706544,6846,0.825235724
1733706545,6854,2.233361006
1733706547,6869,3.005023718
1733706558,6966,3.114797592
1733706561,6992,1.472673535
1733706563,7014,1.168832421
