Wall time,Step,Value
1733740950,42,1
1733740950,45,0.75
1733740950,71,1
1733740950,94,1
1733740951,158,1
1733740951,167,1
1733740951,229,1
1733740951,234,1
1733740951,255,1
1733740951,273,0.75
1733740951,308,1
1733740951,310,1
1733740951,318,1
1733740952,421,1
1733740952,460,1
1733740952,474,1
1733740952,536,1
1733740952,579,1
1733740952,586,1
1733740952,634,1
1733740952,647,1
1733740952,671,1
1733740952,714,1
1733740952,722,1
1733740953,771,1
1733740953,785,1
1733740953,802,1
1733740953,808,1
1733740953,836,1
1733740953,945,1
1733740953,971,1
1733740953,1014,1
1733740954,1066,0.800000012
1733740954,1104,1
1733740954,1180,0.666666687
1733740954,1261,0.800000012
1733740954,1316,1
1733740954,1319,1
1733740954,1333,1
1733740954,1337,1
1733740955,1385,1
1733740955,1392,1
1733740955,1436,1
1733740955,1466,1
1733740955,1523,1
1733740955,1552,0.600000024
1733740955,1568,1
1733740955,1584,1
1733740955,1640,1
1733740956,1691,1
1733740956,1709,0.800000012
1733740956,1718,1
1733740956,1734,1
1733740956,1737,1
1733740956,1781,1
1733740956,1844,1
1733740956,1866,1
1733740956,1869,0.800000012
1733740956,1877,0.75
1733740956,1917,1
1733740956,1934,1
1733740956,1947,1
1733740957,2036,1
1733740957,2096,1
1733740957,2187,1
1733740957,2199,1
1733740957,2231,1
1733740957,2237,1
1733740957,2257,1
1733740957,2262,1
1733740958,2307,1
1733740958,2319,1
1733740958,2354,0.5
1733740958,2389,1
1733740958,2390,1
1733740958,2436,1
1733740958,2453,1
1733740958,2455,1
1733740958,2460,0.75
1733740958,2485,1
1733740958,2486,1
1733740958,2498,1
1733740958,2503,1
1733740958,2532,1
1733740958,2547,1
1733740958,2553,0.666666687
1733740959,2685,1
1733740959,2740,1
1733740959,2789,1
1733740960,2896,1
1733740960,2967,1
1733740960,3038,1
1733740960,3041,1
1733740960,3099,1
1733740960,3161,1
1733740961,3230,1
1733740961,3244,1
1733740961,3246,1
1733740961,3247,0.800000012
1733740961,3305,1
1733740962,3480,1
1733740962,3600,1
1733740962,3618,1
1733740962,3620,0.800000012
1733740962,3670,1
