Wall time,Step,Value
1733651389,18,0
1733651389,42,0
1733651389,45,0.75
1733651390,71,0
1733651390,94,0
1733651390,158,0.800000012
1733651390,167,0
1733651393,229,0.75
1733651393,234,0.333333343
1733651395,255,0.800000012
1733651396,273,1
1733651399,308,0.333333343
1733651400,310,0
1733651400,318,0
1733651409,421,1
1733651413,460,0
1733651414,474,0.25
1733651421,536,0
1733651425,563,1
1733651428,579,0.666666687
1733651429,586,0.333333343
1733651437,634,0.333333343
1733651439,647,0.600000024
1733651441,661,0.75
1733651443,671,0
1733651455,714,0.25
1733651457,722,0
1733651469,765,0.200000003
1733651470,771,0
1733651474,785,0
1733651475,787,0.25
1733651479,802,0.25
1733651481,808,0
1733651487,836,0.5
1733651514,945,0
1733651520,971,0.5
1733651520,972,0
1733651522,978,0.333333343
1733651529,1005,0
1733651531,1014,0
1733651543,1063,0.25
1733651544,1066,0.25
1733651550,1093,0.5
1733651553,1104,0.400000006
1733651566,1161,0
1733651570,1180,0.5
1733651591,1261,0.800000012
1733651606,1316,0
1733651607,1319,0.75
1733651610,1333,0.25
1733651611,1337,0.5
1733651623,1385,0.800000012
1733651624,1392,0.25
1733651630,1414,0.25
1733651632,1426,0.400000006
1733651635,1436,0
1733651642,1466,0.600000024
1733651644,1477,0.600000024
1733651647,1491,0.25
1733651654,1523,1
1733651661,1552,0.800000012
1733651665,1568,0.5
1733651669,1584,0.400000006
1733651670,1588,0.333333343
1733651674,1605,0.800000012
1733651683,1640,0.333333343
1733651696,1691,0.800000012
1733651700,1709,0.5
1733651703,1718,1
1733651706,1732,0.200000003
1733651706,1734,0.400000006
1733651707,1737,0
1733651717,1781,1
1733651728,1826,0.5
1733651731,1844,1
1733651733,1853,0.75
1733651736,1866,0.600000024
1733651737,1869,0.5
1733651738,1877,0.75
1733651747,1917,0.666666687
1733651751,1934,0.75
1733651754,1947,0.333333343
1733651768,2001,0.666666687
1733651776,2036,0.400000006
1733651786,2077,0.800000012
1733651787,2085,0.600000024
1733651788,2089,0.400000006
1733651790,2096,0.333333343
1733651810,2187,0.600000024
1733651813,2199,1
1733651816,2211,0.600000024
1733651821,2231,0.666666687
1733651822,2236,0.800000012
1733651822,2237,1
1733651827,2257,0.800000012
1733651828,2262,1
1733651837,2307,0.200000003
1733651840,2319,1
1733651849,2354,0.800000012
1733651857,2389,0.200000003
1733651857,2390,1
1733651857,2392,0.400000006
1733651867,2436,1
1733651870,2453,0.800000012
1733651870,2455,1
1733651871,2460,0.5
1733651877,2485,1
1733651877,2486,0.400000006
1733651880,2496,1
1733651880,2498,0.333333343
1733651881,2503,0.666666687
1733651888,2532,0.666666687
1733651891,2547,0.666666687
1733651892,2553,0.75
1733651925,2685,0.5
1733651937,2740,1
1733651940,2754,0.25
1733651948,2789,1
1733651975,2896,1
1733651991,2967,0.5
1733652000,3011,0.75
1733652006,3038,0.75
1733652007,3041,0.5
1733652019,3099,0.75
1733652034,3161,0.5
1733652042,3196,0.200000003
1733652049,3230,1
1733652052,3244,1
1733652053,3246,1
1733652053,3247,1
1733652065,3305,0.666666687
1733652081,3376,0.600000024
1733652087,3408,1
1733652092,3430,0.600000024
1733652096,3449,1
1733652103,3480,0.600000024
1733652129,3600,0.800000012
1733652134,3618,0.75
1733652134,3620,0.75
1733652146,3670,0.5
1733652159,3726,0.600000024
1733652164,3741,0.333333343
1733652176,3793,0.333333343
1733652181,3814,0.666666687
1733652182,3819,0.5
1733652183,3821,1
1733652193,3864,1
1733652206,3928,1
1733652212,3956,0.666666687
1733652219,3984,0.333333343
1733652228,4033,0.5
1733652229,4036,1
1733652242,4098,0.5
1733652245,4109,1
1733652262,4182,1
1733652265,4196,1
1733652267,4202,0.333333343
1733652272,4227,1
1733652274,4232,0.5
1733652279,4263,1
1733652280,4266,0.75
1733652288,4304,0.75
1733652291,4317,0.5
1733652291,4319,0.666666687
1733652310,4400,1
1733652318,4433,1
1733652331,4492,0.75
1733652334,4509,0.600000024
1733652338,4530,1
1733652361,4628,1
1733652368,4664,1
1733652369,4668,0.800000012
1733652371,4676,0.5
1733652388,4750,1
1733652397,4788,0.800000012
1733652399,4800,1
1733652400,4802,0.400000006
1733652407,4840,0.600000024
1733652410,4852,0.75
1733652418,4894,0.75
1733652434,4962,0.666666687
1733652437,4971,0.600000024
1733652437,4974,1
1733652453,5050,1
1733652453,5052,0.75
1733652464,5106,0.600000024
1733652471,5134,0.600000024
1733652486,5200,0.5
1733652494,5239,0.666666687
1733652512,5329,0.600000024
1733652515,5345,1
1733652518,5359,1
1733652532,5420,0.75
1733652536,5442,0.25
1733652552,5515,0.75
1733652553,5517,0.800000012
1733652559,5549,1
1733652567,5587,1
1733652583,5660,1
1733652583,5664,1
1733652586,5679,1
1733652595,5720,1
1733652596,5723,1
1733652615,5808,1
1733652619,5825,0.75
1733652620,5828,0.75
1733652627,5862,1
1733652627,5864,0.75
1733652629,5871,0.75
1733652637,5907,0.800000012
1733652641,5928,1
1733652645,5952,0.75
1733652647,5963,0.600000024
1733652654,5990,0.5
1733652659,6010,0.800000012
1733652660,6015,0.75
1733652683,6121,0.600000024
1733652685,6131,1
1733652697,6181,0.800000012
1733652701,6200,1
