Wall time,Step,Value
1733564536,42,0.990380228
1733564536,45,1.007757425
1733564536,71,-0.9565171
1733564537,94,-0.252998114
1733564541,158,-1.111319852
1733564542,167,-1.695704699
1733564546,229,-0.111909389
1733564546,234,-2.004286051
1733564548,255,-1.117320061
1733564549,273,-0.004484314
1733564551,308,-0.735925674
1733564552,310,-0.521652818
1733564552,318,-0.575391352
1733564560,421,1.299589396
1733564564,460,1.275241137
1733564565,474,2.434250355
1733564573,536,-0.325044602
1733564579,579,-0.710669398
1733564580,586,-2.807240009
1733564588,634,-1.911319852
1733564590,647,-3.043235302
1733564594,671,-1.548790812
1733564600,714,0.655897915
1733564602,722,-2.102788925
1733564609,771,-0.634046674
1733564612,785,-0.68403095
1733564615,802,0.198908314
1733564616,808,-3.089347124
1733564620,836,-0.277105868
1733564636,945,-2.363192797
1733564640,971,2.657665014
1733564647,1014,-2.283413649
1733564655,1066,-0.839020073
1733564661,1104,-0.840481341
1733564672,1180,-2.105711699
1733564685,1261,-3.010344267
1733564693,1316,-1.039999962
1733564694,1319,-0.277750492
1733564696,1333,-1.186201692
1733564696,1337,-1.922495604
1733564705,1385,-2.900348186
1733564706,1392,-0.537202001
1733564712,1436,1.329054117
1733564717,1466,0.791027129
1733564725,1523,-0.556665599
1733564729,1552,-0.523441315
1733564732,1568,0.64915967
1733564735,1584,-3.205741882
1733564743,1640,-2.29764986
1733564751,1691,-0.787150979
1733564753,1709,-2.123343468
1733564754,1718,0.78788352
1733564757,1734,0.91609925
1733564757,1737,1.975341439
1733564765,1781,0.029077271
1733564774,1844,0.849028468
1733564778,1866,0.856726527
1733564778,1869,0.317373514
1733564780,1877,0.474881589
1733564785,1917,-0.91864574
1733564788,1934,-1.199750066
1733564790,1947,-1.902223468
1733564803,2036,0.143846452
1733564811,2096,-0.664501667
1733564824,2187,-1.93102622
1733564826,2199,0.879138827
1733564832,2231,-1.407089591
1733564833,2237,-0.404539049
1733564835,2257,1.678875804
1733564836,2262,-1.543111086
1733564843,2307,0.392788261
1733564845,2319,-0.20872876
1733564850,2354,-0.382157058
1733564855,2389,1.057392836
1733564855,2390,2.514430761
1733564862,2436,-0.813307643
1733564864,2453,0.214804709
1733564864,2455,-1.083700299
1733564865,2460,-1.558419466
1733564869,2485,0.636679828
1733564869,2486,-1.138608456
1733564871,2498,-3.226151228
1733564872,2503,-1.049729109
1733564876,2532,-1.528710485
1733564878,2547,-1.113668799
1733564879,2553,0.591940761
1733564898,2685,2.146011591
1733564907,2740,-2.974849701
1733564913,2789,-2.556892395
1733564928,2896,1.459128261
1733564937,2967,2.555372
1733564947,3038,-1.684686542
1733564947,3041,-0.803981125
1733564955,3099,0.737148345
1733564964,3161,1.881292343
1733564973,3230,1.608751059
1733564975,3244,1.466437101
1733564975,3246,1.411659122
1733564975,3247,2.668225765
1733564982,3305,-1.098517776
1733565008,3480,-1.423302412
1733565025,3600,-0.49132666
1733565027,3618,-1.892348051
1733565028,3620,1.414633989
1733565035,3670,2.910071373
1733565044,3741,2.489703655
1733565051,3793,0.97829169
1733565054,3814,-0.714435101
1733565055,3821,-0.641748369
1733565070,3928,0.241257593
1733565074,3956,2.72404027
1733565078,3984,0.133936957
1733565085,4036,2.973841667
1733565093,4098,3.117553711
1733565107,4196,2.918103218
1733565111,4227,3.171346426
1733565112,4232,-0.918310702
1733565123,4317,-0.748634815
1733565124,4319,1.387805939
1733565135,4400,-0.707558274
1733565148,4492,3.215675831
1733565150,4509,2.409439325
1733565154,4530,-0.231034517
1733565168,4628,2.462393999
1733565172,4664,3.296009064
1733565173,4668,2.888999462
